exposure_id,obligor_id,instrument_type,exposure_class,issuer_type,instrument_subtype,seniority,secured_flag,sector,rating,currency,balance,undrawn,maturity_years,coupon_rate,rate_type,guaranteed,collateral_type
EXP-0001,OBL-0001,bond,corporate,corporate,corporate_bond,senior_unsecured,False,healthcare,B,EUR,14413341.28,0.0,6.2,0.071,fixed,False,
EXP-0002,OBL-0001,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,healthcare,B,EUR,1841276.69,1133750.53,1.58,0.0522,floating,False,
EXP-0003,OBL-0001,loan,corporate,corporate,revolving,senior_secured,True,healthcare,B,EUR,2495771.65,1798702.2,4.34,0.0729,floating,False,inventory
EXP-0004,OBL-0002,loan,corporate,corporate,term_loan,senior_secured,True,technology,BBB,USD,32686921.25,4968614.6,3.9,0.0517,floating,False,
EXP-0005,OBL-0002,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,technology,BBB,USD,6859346.93,2740168.22,0.94,0.0393,floating,False,
EXP-0006,OBL-0002,loan,corporate,corporate,revolving,senior_secured,True,technology,BBB,USD,21627259.47,13333589.46,3.39,0.0539,floating,False,
EXP-0007,OBL-0003,bond,fi,insurance,bank_senior_bond,senior_unsecured,False,insurance,B,EUR,20946978.56,0.0,7.13,0.0695,floating,False,
EXP-0008,OBL-0003,bond,fi,insurance,bank_senior_bond,subordinated,False,insurance,B,EUR,32614447.4,0.0,7.25,0.073,fixed,False,
EXP-0009,OBL-0003,loan,fi,insurance,term_loan,senior_secured,True,insurance,B,EUR,8379304.3,701307.73,6.87,0.0718,floating,False,
EXP-0010,OBL-0003,bond,fi,insurance,bank_senior_bond,subordinated,False,insurance,B,EUR,18830456.15,0.0,4.61,0.0741,fixed,False,
EXP-0011,OBL-0004,bond,corporate,corporate,corporate_bond,senior_unsecured,False,consumer,B,USD,6738219.8,0.0,8.41,0.0851,floating,False,
EXP-0012,OBL-0004,bond,corporate,corporate,corporate_bond,senior_unsecured,False,consumer,B,USD,8784451.22,0.0,2.24,0.0835,fixed,False,
EXP-0013,OBL-0005,bond,sovereign,agency,agency_bond,senior_unsecured,False,agency,AA,EUR,67060963.19,0.0,4.99,0.0202,fixed,False,
EXP-0014,OBL-0005,bond,sovereign,agency,agency_bond,senior_unsecured,False,agency,AA,EUR,30499045.25,0.0,5.42,0.021,fixed,False,
EXP-0015,OBL-0006,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,industrials,BBB,USD,4301195.68,1033153.06,2.79,0.0381,floating,False,
EXP-0016,OBL-0006,loan,corporate,corporate,term_loan,senior_secured,True,industrials,BBB,USD,12429726.67,1014146.18,4.81,0.0489,floating,False,receivables
EXP-0017,OBL-0006,bond,corporate,corporate,corporate_bond,senior_unsecured,False,industrials,BBB,USD,9952826.57,0.0,4.6,0.0533,floating,False,
EXP-0018,OBL-0007,bond,fi,insurance,bank_senior_bond,senior_unsecured,False,asset_management,BB,EUR,30279937.34,0.0,4.26,0.0548,fixed,False,
EXP-0019,OBL-0007,bond,fi,insurance,bank_senior_bond,senior_unsecured,False,asset_management,BB,EUR,65841578.06,0.0,8.96,0.0497,fixed,False,
EXP-0020,OBL-0008,bond,fi,insurance,bank_senior_bond,senior_unsecured,False,insurance,A,EUR,48753654.7,0.0,5.59,0.0332,fixed,False,
EXP-0021,OBL-0008,off_balance,fi,insurance,guarantee,senior_unsecured,False,insurance,A,EUR,5270947.72,1397581.76,1.85,0.0233,floating,True,
EXP-0022,OBL-0008,bond,fi,insurance,bank_senior_bond,senior_unsecured,False,insurance,A,EUR,57468153.21,0.0,2.78,0.0315,fixed,False,
EXP-0023,OBL-0008,bond,fi,insurance,bank_senior_bond,senior_unsecured,False,insurance,A,EUR,50214744.61,0.0,7.89,0.0335,fixed,False,
EXP-0024,OBL-0008,bond,fi,insurance,bank_senior_bond,senior_unsecured,False,insurance,A,EUR,64697622.03,0.0,8.51,0.0295,fixed,False,
EXP-0025,OBL-0008,bond,fi,insurance,bank_senior_bond,senior_unsecured,False,insurance,A,EUR,64582736.9,0.0,2.06,0.033,fixed,False,
EXP-0026,OBL-0008,loan,fi,insurance,term_loan,senior_secured,True,insurance,A,EUR,35739919.1,3796836.34,6.1,0.0352,floating,True,
EXP-0027,OBL-0009,loan,corporate,corporate,revolving,senior_unsecured,False,real_estate,A,EUR,19694279.9,9997016.34,2.1,0.0397,floating,False,
EXP-0028,OBL-0010,loan,corporate,corporate,term_loan,senior_secured,True,industrials,BB,USD,23800348.07,1484336.27,1.11,0.0684,floating,True,
EXP-0029,OBL-0011,bond,corporate,corporate,corporate_bond,subordinated,False,healthcare,CCC,EUR,16613285.77,0.0,3.15,0.1089,fixed,False,
EXP-0030,OBL-0012,bond,corporate,corporate,corporate_bond,senior_unsecured,False,industrials,A,USD,20319057.2,0.0,6.68,0.0471,fixed,False,
EXP-0031,OBL-0012,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,industrials,A,USD,2329886.71,471169.88,1.99,0.0357,floating,False,
EXP-0032,OBL-0012,loan,corporate,corporate,term_loan,senior_secured,True,industrials,A,USD,6312867.77,769991.45,5.35,0.0442,floating,False,
EXP-0033,OBL-0013,loan,corporate,corporate,term_loan,senior_secured,True,technology,BBB,EUR,6670422.9,624627.82,3.45,0.0392,floating,True,
EXP-0034,OBL-0013,bond,corporate,corporate,corporate_bond,subordinated,False,technology,BBB,EUR,26889566.39,0.0,8.87,0.0451,fixed,False,
EXP-0035,OBL-0014,bond,fi,bank,covered_bond,covered,True,diversified_financials,AA,EUR,36898851.17,0.0,6.71,0.0227,fixed,False,
EXP-0036,OBL-0015,bond,corporate,corporate,corporate_bond,subordinated,False,consumer,BBB,USD,25231175.56,0.0,2.8,0.0645,floating,False,
EXP-0037,OBL-0015,loan,corporate,corporate,revolving,senior_secured,True,consumer,BBB,USD,32341944.15,16760430.85,3.31,0.0533,floating,False,cash
EXP-0038,OBL-0016,loan,corporate,corporate,term_loan,senior_secured,True,real_estate,AA,EUR,12992725.17,793933.41,6.73,0.0313,floating,False,cash
EXP-0039,OBL-0017,off_balance,corporate,corporate,guarantee,senior_unsecured,False,industrials,BBB,USD,9307761.3,3813254.03,2.78,0.0363,floating,False,
EXP-0040,OBL-0017,loan,corporate,corporate,term_loan,senior_unsecured,False,industrials,BBB,USD,26241740.93,4258917.35,6.91,0.0517,floating,False,
EXP-0041,OBL-0018,bond,sovereign,agency,agency_bond,senior_unsecured,False,agency,AA,USD,20264649.85,0.0,8.17,0.0347,fixed,False,
EXP-0042,OBL-0019,loan,corporate,corporate,term_loan,senior_secured,True,healthcare,BB,EUR,13981494.85,1470308.19,5.41,0.0536,floating,False,equipment
EXP-0043,OBL-0019,off_balance,corporate,corporate,guarantee,senior_unsecured,False,healthcare,BB,EUR,12569741.52,7218723.57,2.07,0.0412,floating,False,
EXP-0044,OBL-0020,off_balance,fi,bank,letter_of_credit,senior_unsecured,False,diversified_financials,BBB,EUR,3524981.38,873908.45,1.79,0.0284,floating,False,
EXP-0045,OBL-0021,bond,fi,bank,bank_senior_bond,senior_unsecured,False,diversified_financials,A,EUR,17108735.2,0.0,5.37,0.0331,fixed,False,
EXP-0046,OBL-0021,bond,fi,bank,bank_senior_bond,senior_unsecured,False,diversified_financials,A,EUR,20219490.04,0.0,8.42,0.0334,fixed,False,
EXP-0047,OBL-0021,bond,fi,bank,bank_senior_bond,senior_unsecured,False,diversified_financials,A,EUR,8000000.0,0.0,7.73,0.0294,fixed,False,
EXP-0048,OBL-0022,bond,fi,insurance,bank_senior_bond,senior_unsecured,False,asset_management,AA,EUR,37144788.4,0.0,7.56,0.0285,fixed,False,
EXP-0049,OBL-0023,off_balance,corporate,corporate,guarantee,senior_unsecured,False,healthcare,BBB,EUR,6019699.95,2776080.98,0.95,0.0301,floating,False,
EXP-0050,OBL-0024,loan,corporate,corporate,revolving,senior_secured,True,consumer,A,EUR,4659723.64,3090450.77,1.5,0.0368,floating,False,
EXP-0051,OBL-0025,loan,corporate,corporate,revolving,senior_unsecured,False,industrials,AA,USD,17249423.56,11027889.47,2.46,0.0467,floating,False,
EXP-0052,OBL-0025,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,industrials,AA,USD,5691505.77,2046602.49,2.16,0.0306,floating,True,
EXP-0053,OBL-0025,loan,corporate,corporate,revolving,senior_unsecured,False,industrials,AA,USD,8917684.1,5287573.9,4.62,0.0427,floating,False,
EXP-0054,OBL-0025,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,industrials,AA,USD,7605232.01,2441402.0,2.69,0.0315,floating,False,
EXP-0055,OBL-0026,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,consumer,BBB,USD,4565029.02,1805572.48,2.61,0.0367,floating,False,
EXP-0056,OBL-0026,bond,corporate,corporate,corporate_bond,senior_unsecured,False,consumer,BBB,USD,22286194.52,0.0,7.16,0.0524,fixed,False,
EXP-0057,OBL-0026,bond,corporate,corporate,corporate_bond,senior_unsecured,False,consumer,BBB,USD,19454052.62,0.0,3.34,0.0503,fixed,True,
EXP-0058,OBL-0027,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,industrials,A,EUR,9425960.77,2176547.03,2.05,0.0276,floating,False,
EXP-0059,OBL-0027,loan,corporate,corporate,term_loan,senior_unsecured,False,industrials,A,EUR,23231200.77,3700099.11,4.98,0.0374,floating,True,
EXP-0060,OBL-0028,loan,corporate,corporate,term_loan,senior_secured,True,industrials,BBB,EUR,7706807.5,905423.58,6.95,0.0427,floating,False,inventory
EXP-0061,OBL-0029,bond,sovereign,sovereign,sovereign_bond,senior_unsecured,False,public_sector,BB,EUR,99395684.0,0.0,3.62,0.0462,fixed,False,
EXP-0062,OBL-0029,bond,sovereign,sovereign,sovereign_bond,senior_unsecured,False,public_sector,BB,EUR,130960407.99,0.0,6.86,0.048,fixed,False,
EXP-0063,OBL-0029,bond,sovereign,sovereign,sovereign_bond,senior_unsecured,False,public_sector,BB,EUR,80243399.38,0.0,4.15,0.0446,fixed,False,
EXP-0064,OBL-0030,bond,sovereign,agency,agency_bond,senior_unsecured,False,agency,BBB,EUR,25886404.92,0.0,9.75,0.0319,fixed,False,
EXP-0065,OBL-0030,bond,sovereign,agency,agency_bond,senior_unsecured,False,agency,BBB,EUR,15099518.81,0.0,10.23,0.0317,fixed,False,
EXP-0066,OBL-0030,bond,sovereign,agency,agency_bond,senior_unsecured,False,agency,BBB,EUR,35813507.02,0.0,9.52,0.032,fixed,False,
EXP-0067,OBL-0031,bond,fi,insurance,bank_senior_bond,senior_unsecured,False,insurance,A,EUR,44970379.13,0.0,7.26,0.0324,fixed,False,
EXP-0068,OBL-0031,bond,fi,insurance,bank_senior_bond,senior_unsecured,False,insurance,A,EUR,82132631.09,0.0,2.96,0.0328,fixed,False,
EXP-0069,OBL-0032,loan,corporate,corporate,revolving,senior_unsecured,False,consumer,BB,EUR,2473655.73,1866664.57,3.09,0.0558,floating,False,
EXP-0070,OBL-0032,loan,corporate,corporate,term_loan,senior_secured,True,consumer,BB,EUR,7865117.19,592700.25,5.55,0.0541,floating,False,cash
EXP-0071,OBL-0033,bond,corporate,corporate,corporate_bond,senior_unsecured,False,energy,A,EUR,36332239.62,0.0,2.01,0.0341,fixed,False,
EXP-0072,OBL-0034,bond,corporate,corporate,corporate_bond,subordinated,False,consumer,BB,EUR,52952710.23,0.0,9.48,0.0642,fixed,False,
EXP-0073,OBL-0035,bond,sovereign,agency,agency_bond,senior_unsecured,False,agency,AA,EUR,55141028.5,0.0,4.07,0.0228,fixed,False,
EXP-0074,OBL-0035,bond,sovereign,agency,agency_bond,senior_unsecured,False,agency,AA,EUR,63324458.99,0.0,2.55,0.0278,fixed,False,
EXP-0075,OBL-0035,bond,sovereign,agency,agency_bond,senior_unsecured,False,agency,AA,EUR,63293642.25,0.0,3.0,0.0212,fixed,False,
EXP-0076,OBL-0036,loan,fi,bank,revolving,senior_secured,True,diversified_financials,BBB,USD,9457077.71,6100267.03,2.13,0.0528,floating,False,
